control,sample,frames,mean_step_rms,step_coefficient_of_variation,temporal_roughness,path_linearity,consecutive_edge_correlation,endpoint_edge_correlation
Pose,71,31,0.026138519721812505,0.21992229762518384,0.8158390077094281,0.22159602127195127,0.9688573350704834,0.14073986934597604
Pose,72,31,0.03518584976554252,0.39228487140306356,1.0108284609144549,0.25471357680783024,0.9297142600630489,-0.0009616620351707565
Pose,73,31,0.03006842263430109,0.27224658225866666,0.8417934721395122,0.30071075501912464,0.9292663936513748,0.0792860669479337
Pose,74,31,0.02730923516569075,0.11678013694803306,0.93903221748491,0.23884926187834432,0.942333657962769,0.2288608722731251
Pose,75,31,0.038199270235120264,0.3144815142937035,0.9987304690618319,0.21205219128370137,0.9346316090810445,0.06244659551560931
Pose,76,31,0.02986739342152472,0.24953131911355242,0.8365290288111444,0.2943498898210776,0.9299348400605127,0.1538042523193978
Pose,77,31,0.034556568699850285,0.3090363008197403,0.9024019877484113,0.25028465619011225,0.8921123786633638,0.06775142697542956
Pose,78,31,0.03250331355226793,0.21404272364072013,1.0279972680590748,0.214764257548531,0.9339207234951715,-0.021434412725488315
Pose,79,31,0.022478646375455897,0.28221459792828907,1.0095103899634073,0.21026440918713812,0.9324888029003611,0.1303741885337161
Pose,80,31,0.0365044001575316,0.2510827181819384,0.7704138206581244,0.36134214431929723,0.8900176951157995,0.07752687576384916
Pose,81,31,0.02730955590103327,0.188308797281284,0.8238870570399249,0.3391435965294654,0.9290418374453498,0.17058514815353754
Pose,82,31,0.029590942431601323,0.1659742833561237,0.9642819459004063,0.23470628271259217,0.9299549044022992,0.05860490496492516
Pose,83,31,0.04239018591851864,0.34024168201858385,0.901988260079088,0.29858389430409354,0.8127886607235609,0.0868994358352358
Pose,84,31,0.030379274797485426,0.26935995115734146,1.0023915721314713,0.22150392117529524,0.8724911271738951,-0.0031324870664154758
Pose,85,31,0.029771609492911685,0.33340323070505096,0.9578238468465423,0.18275356819921776,0.9264817456759027,0.1250355037250842
Pose,86,31,0.02509135908418287,0.20794735178324447,0.7607140383482147,0.33849089980627417,0.9365520709370393,0.06806836062503548
Pose,87,31,0.024783155146738827,0.20157982847059847,0.9190475542800729,0.21513862980730802,0.9521913126029113,0.10171026437850429
Pose,88,31,0.03239382635762762,0.26724194004272617,0.7595752582005665,0.37379932175492664,0.8795857174127921,0.03711359733787574
Pose,89,31,0.04339097330267428,0.3639481010193376,0.9958074092478414,0.26844534008279425,0.8752939234986175,0.08551870740691554
Pose,90,31,0.02908088396508435,0.20448256613088095,0.9390869584708477,0.23971804896743848,0.9364112032783789,0.008649478025488473
Illumination,1,21,0.01323918019382444,0.07373319075175284,0.4781907571324056,0.6486886702581205,0.9931885470533318,0.45973708721942275
Illumination,10,21,0.010929045129290372,0.1503260354335306,0.45576373590238356,0.6909403715710292,0.9934042831745187,0.3318971859096078
Illumination,11,21,0.013224699515022332,0.12527859064854924,0.46000259460075826,0.6764846017624384,0.9919975433300813,0.3718920526893773
Illumination,12,21,0.012081003889614928,0.13890496242858852,0.42263575651405444,0.685387432394313,0.9937121562372444,0.4529092996926346
Illumination,13,21,0.016187748219622343,0.10057185184973635,0.4047206134727038,0.6696968251188017,0.992062878217913,0.3628214603453716
Illumination,14,21,0.01458613169940313,0.18201599745567915,0.3907440984669344,0.7111801501543323,0.9942932730817482,0.41863226718089763
Illumination,15,21,0.013679061015372081,0.16728885837897167,0.4129241335997063,0.6982191207347053,0.9919398524529623,0.324237786610244
Illumination,16,21,0.017549141520942068,0.06490991647585033,0.3384880451958752,0.6655151454412463,0.9945108165853748,0.45821527618265073
Illumination,17,21,0.015491233339970666,0.1445916673746205,0.38262790939380104,0.691558342072352,0.9923777472433595,0.31160165132798967
Illumination,18,21,0.013706080091644724,0.18386180951312073,0.4220810456430427,0.7137606333760774,0.9939103351600421,0.33591055084402244
Illumination,19,21,0.010694716571323122,0.1351521948816889,0.4258011327655492,0.6797216511302099,0.993240961223536,0.35113960422011314
Illumination,2,21,0.01512199604303267,0.05165551750680731,0.4014969167850779,0.6335933799226582,0.994429863234263,0.4169835766327987
Illumination,20,21,0.011081993001673346,0.1571227482485828,0.49427689557008786,0.6910973031098083,0.9950873871065944,0.5046482045406149
Illumination,21,21,0.01590382295677634,0.1828625042629263,0.4096722431058805,0.7134115880472807,0.9939496642150271,0.3733632361940648
Illumination,22,21,0.010837222858305283,0.05714363841150937,0.45234038462494836,0.645816652055415,0.9954178793530982,0.5523866161331554
Illumination,23,21,0.01656632189132485,0.025474925058415643,0.3449532639602598,0.6312671308735286,0.996658584610278,0.5867501884148153
Illumination,24,21,0.014750202030075743,0.10226383832228494,0.41847582453051735,0.669320870544529,0.9909260913526254,0.37685694444001594
Illumination,3,21,0.01595689281372413,0.136827615664084,0.43442044005066077,0.6820458814718618,0.9912718967979981,0.3444332247132463
Illumination,4,21,0.013581108255157506,0.14751588735115587,0.44846114461356146,0.6871459027675498,0.993718074041192,0.4456524004012181
Illumination,5,21,0.018642571014876756,0.12104907411978569,0.3452538267459123,0.6737908185408273,0.9934954297267236,0.6340899284809626
Illumination,6,21,0.014872716234173583,0.16592587303092637,0.42550558634526064,0.7033368453012547,0.9939449233527745,0.35089350010811343
Illumination,7,21,0.016748164486518686,0.1711804013171831,0.4390654530434757,0.703001809203531,0.991405734922108,0.26241180078935805
Illumination,8,21,0.014793795104375044,0.1155189560981337,0.42927749376536295,0.6769045091334758,0.9931248184058296,0.4421311965687442
Illumination,9,21,0.013419766127167576,0.17837564833099914,0.45991699309843975,0.6977137331810463,0.9941193634869656,0.39636087345407656
